Питання,Варіант 1 (вірний),Варіант 2,Варіант 3,Варіант 4
Що таке криптовалютний гаманець?,Програмне забезпечення для зберігання криптовалют,Програмне забезпечення для торгівлі криптовалютами,Програмне забезпечення для майнінгу,Програмне забезпечення для шифрування
Що таке криптовалютний обмінник?,Сервіс для обміну криптовалют,Сервіс для зберігання криптовалют,Сервіс для майнінгу,Сервіс для шифрування
Що таке криптовалютний портфель?,Набір криптовалют,Набір фіатних валют,Набір акцій,Набір облігацій
Що таке криптовалютний ринок?,Ринок для торгівлі криптовалютами,Ринок для зберігання криптовалют,Ринок для майнінгу,Ринок для шифрування
Що таке криптовалютний трейдинг?,Торгівля криптовалютами,Зберігання криптовалют,Майнінг криптовалют,Шифрування криптовалют
Що таке криптовалютний індекс?,Індекс вартості криптовалют,Індекс вартості фіатних валют,Індекс вартості акцій,Індекс вартості облігацій
Що таке криптовалютний фонд?,Фонд для інвестування в криптовалюти,Фонд для інвестування в фіатні валюти,Фонд для інвестування в акції,Фонд для інвестування в облігації
Що таке криптовалютний арбітраж?,Арбітраж між різними біржами,Арбітраж між різними фіатними валютами,Арбітраж між різними акціями,Арбітраж між різними облігаціями
Що таке криптовалютний бот?,Програма для автоматичної торгівлі,Програма для зберігання криптовалют,Програма для майнінгу,Програма для шифрування
Що таке криптовалютний хешрейт?,Швидкість обчислень у мережі,Швидкість транзакцій у мережі,Швидкість зберігання даних у мережі,Швидкість шифрування даних у мережі
Що таке криптовалютний пул?,Група майнерів,Група трейдерів,Група зберігачів,Група шифрувальників
Що таке криптовалютний вузол?,Комп'ютер у мережі,Користувач у мережі,Програма у мережі,Файл у мережі
Що таке криптовалютний консенсус?,Узгодженість між учасниками мережі,Розбіжність між учасниками мережі,Конфлікт між учасниками мережі,Співпраця між учасниками мережі
